score	offset	key	run	text
710	0x008fb8b0	0x51f58571cddb4f0b	32	Пробуем мультипрограмный вариант
633	0x0085a058	0x9d991dd9c9199135	11	требованйтС
554	0x0085f688	0x0b9727712bd3710f	18	зарегистрированный
551	0x008fb9c8	0x1b4d3197319727a9	19	(шестнадцатеричный)
551	0x009002d8	0x03d39d4d0579b1cd	19	или оставьте пустым
530	0x0085a968	0xbb43cfebb327fbf9	10	скачаннонЫ
484	0x008f7680	0x0bb593d1c3a7a55f	32	записи на носитель слишком низка
447	0x00858290	0x2d6f036d75d789f1	9	Установкк
444	0x00859e18	0x5dbb5b1fd1039357	8	Установл
436	0x00900420	0xe3fdbf235fa7c7fd	20	2ая панель, (+) меню
424	0x008f5560	0x63b5e159d1356371	9	быть устб
424	0x00859f20	0x61073d3fa73babbb	9	сервера:ч
421	0x0085a0e0	0x1713e5ade355675d	9	сервера..
415	0x008fdae0	0x07392939ad956309	9	номер   #
350	0x008b7aff	0x2b91f767d17b19db	6	ИРфэко
350	0x0085b4ef	0x6391835f01fd17e9	4	ИРОП
347	0x00a5ff53	0x0d6f63e7b153f1f7	10	Вь+эцнескЯ
347	0x00a5ff53	0x0d6f63e7b153f1f7	11	Вь+эцнескЯ-
347	0x009a2fd0	0x1d9b19fb6193e907	6	РРиерб
347	0x009d5e9e	0xfbefe9fb291df1fd	9	СХиойОпощ
347	0x00a9924a	0x3f1dd1bd7f2f63ff	12	ЩЭ*_ер)могЬб
344	0x00917245	0x49f53153a16543d7	9	АанФаны9Ф
344	0x00858fc0	0x1fb3c91f69c1edaf	9	Неизвест%
344	0x00859a88	0x0fa71533ff8f5111	11	Автоповт(8@
344	0x0085a230	0x6bbda3b733f199cf	8	Проверка
344	0x009c6ae0	0xe7110da3f701e39b	8	Ястканъф
344	0x00a9924a	0x3f1dd1bd7f2f63ff	11	ЩЭ*_ер)могЬ
341	0x00a6d058	0xe1f9d3b9f5ef8591	7	ЫЕпере-
341	0x0098a139	0x4b594d5ba7572bb9	9	Онек5ДКЭ!
338	0x00838402	0x3b4ff3ff011d0183	8	Я_нонаБ6
338	0x00906adb	0xdbe9a791e915bba1	9	У]@#йтпов
338	0x00961369	0xe1f9abd1e3514d83	6	Опвенй
338	0x008b440f	0xfb5fb1f753a36727	6	Гамой+
335	0x0092edce	0x8535618713ed83c5	5	Тнаям
333	0x008589f8	0x09e75581e37f113d	11	сохраненжцщ
330	0x008fddf0	0xa34f31bfa925858b	15	напряжение : {}
327	0x00a89e9c	0xf543bfffd32fc92d	9	иеНаПшйтЖ
327	0x009d0f00	0x233321e1070303d5	10	илпванЩ ЯУ
327	0x00a107ae	0x7169c309257127dd	6	аДатщД
327	0x0085a260	0x7fd7196df1db7f3d	8	сохранен
324	0x00acaeef	0xcf4bd1a107bbf5d9	4	ынан
324	0x00858c98	0x1dff35238dcb6965	11	сохранен:39
324	0x00a4747a	0x632df5fdf5c5fbd3	9	сномлач1р
324	0x0091fddf	0xfdd7d5a151bb1315	8	)яжФтон7
324	0x0091a60a	0xa3559bf3c9a9055b	11	2ЖатЬ<л2ког
324	0x008fb9c8	0x1b4d3197319727a9	9	(шестнадц
324	0x009ef127	0x0dc505f513f12d2d	9	уъпомноЫ'
324	0x008da817	0x57e1db7fdd695d39	4	жноД
324	0x0085aa00	0xc54b5723f1bb3307	11	уверены,'_н
324	0x00900420	0xe3fdbf235fa7c7fd	11	2ая панель,
324	0x00900420	0xe3fdbf235fa7c7fd	13	2ая панель, (
324	0x0089653c	0x6b41379fcf252f5d	6	щмОпон
321	0x009f7abd	0x7f990dc3bf03f155	7	еюгНанъ
321	0x00ab3d49	0x8713e337c525fb01	5	вйОп.
321	0x008b79a3	0x17d189cb2b6589b9	9	эХНа;Онй,
321	0x00848bc6	0xfb6feda9772f03c7	4	гйть
321	0x0083f08b	0xe743979f7d9d679b	7	пратнип
321	0x0095c714	0x536bcb5581734b61	7	к*Фая-У
321	0x0085aa00	0xc54b5723f1bb3307	9	уверены,'
321	0x00900420	0xe3fdbf235fa7c7fd	9	2ая панел
318	0x009a047f	0x83656d5d8deb9b87	7	эо?еком
318	0x00a72d94	0x3bf5c503ff4131cb	5	онйям
318	0x00906559	0x9b23bfb593791fef	8	8юмонйК3
315	0x009ef4d0	0x996d814b7f0d8529	6	мераЖ{
312	0x00903418	0x635bb5c903df7363	5	"Дать
259	0x00a3ff0f	0x11a9bb0b2db701ef	10	Опр."]ЮЯАГ
259	0x00a20dd5	0x4f1103d9f5a1cffb	6	ЗерФад
256	0x00931ce8	0xf79b4d9d8f817f73	12	Чшссном ФЬаб
253	0x00859738	0x1dd7098fc98121fd	10	ИзменитьчТ
253	0x008dd3ec	0x57e1db7fdd695d39	8	Иск4ГанЧ
250	0x00842fd7	0x1f61dd7563ab8b95	7	ЬФекров
250	0x0090d5ee	0x89d7c5ebc399c1ad	7	МцдНалк
250	0x0090015b	0xb50391c513afc795	4	ЗАес
250	0x009eb4d6	0x4763078f27edbf15	10	ЩЯзытшйтФЖ
250	0x008c49c4	0x8f81cb2d05979d33	8	ЬонУСщОС
250	0x00860b43	0xe53f136f29cf85e9	4	ИваЙ
250	0x00864996	0x051d3b895ff9955b	11	СцИ!уаяНуйб
